% Cone spiral data: a=1.000, b=2.000, c=1.500, h=5.000
%t(radians)      x           y           z
    2.4428    -0.372057     0.971944     0.468956
    2.4679    -0.383727     0.981964     0.459442
    2.4931    -0.395311     0.991984     0.449342
    2.5183    -0.406797     1.002004     0.438655
    2.5435    -0.418172     1.012024     0.427382
    2.5687    -0.429424     1.022044     0.415526
    2.5939    -0.440540     1.032064     0.403088
    2.6190    -0.451509     1.042084     0.390071
    2.6442    -0.462317     1.052104     0.376479
    2.6694    -0.472952     1.062124     0.362316
    2.6946    -0.483402     1.072144     0.347586
    2.7198    -0.493654     1.082164     0.332294
    2.7450    -0.503697     1.092184     0.316446
    2.7701    -0.513518     1.102204     0.300048
    2.7953    -0.523105     1.112224     0.283108
    2.8205    -0.532445     1.122244     0.265632
    2.8457    -0.541528     1.132265     0.247628
    2.8709    -0.550341     1.142285     0.229106
    2.8961    -0.558872     1.152305     0.210073
    2.9212    -0.567110     1.162325     0.190540
    2.9464    -0.575044     1.172345     0.170517
    2.9716    -0.582662     1.182365     0.150014
    2.9968    -0.589953     1.192385     0.129043
    3.0220    -0.596906     1.202405     0.107616
    3.0472    -0.603511     1.212425     0.085745
    3.0723    -0.609757     1.222445     0.063443
    3.0975    -0.615634     1.232465     0.040723
    3.1227    -0.621132     1.242485     0.017599
    3.1479    -0.626240     1.252505    -0.005914
    3.1731    -0.630950     1.262525    -0.029802
    3.1983    -0.635251     1.272545    -0.054050
    3.2234    -0.639136     1.282565    -0.078641
    3.2486    -0.642594     1.292585    -0.103559
    3.2738    -0.645619     1.302605    -0.128788
    3.2990    -0.648200     1.312625    -0.154311
    3.3242    -0.650331     1.322645    -0.180109
    3.3494    -0.652003     1.332665    -0.206166
    3.3745    -0.653210     1.342685    -0.232462
    3.3997    -0.653945     1.352705    -0.258979
    3.4249    -0.654201     1.362725    -0.285697
    3.4501    -0.653971     1.372745    -0.312598
    3.4753    -0.653249     1.382766    -0.339661
    3.5005    -0.652031     1.392786    -0.366866
    3.5256    -0.650311     1.402806    -0.394193
    3.5508    -0.648084     1.412826    -0.421621
    3.5760    -0.645345     1.422846    -0.449129
    3.6012    -0.642091     1.432866    -0.476695
    3.6264    -0.638318     1.442886    -0.504298
    3.6516    -0.634023     1.452906    -0.531917
    3.6767    -0.629202     1.462926    -0.559528
    3.7019    -0.623854     1.472946    -0.587110
    3.7271    -0.617976     1.482966    -0.614640
    3.7523    -0.611566     1.492986    -0.642096
    3.7775    -0.604624     1.503006    -0.669454
    3.8026    -0.597149     1.513026    -0.696693
    3.8278    -0.589140     1.523046    -0.723789
    3.8530    -0.580598     1.533066    -0.750718
    3.8782    -0.571523     1.543086    -0.777458
    3.9034    -0.561916     1.553106    -0.803985
    3.9286    -0.551778     1.563126    -0.830277
    3.9537    -0.541112     1.573146    -0.856309
    3.9789    -0.529919     1.583166    -0.882058
    4.0041    -0.518203     1.593186    -0.907501
    4.0293    -0.505967     1.603206    -0.932615
    4.0545    -0.493214     1.613226    -0.957377
    4.0797    -0.479949     1.623246    -0.981762
    4.1048    -0.466176     1.633267    -1.005749
    4.1300    -0.451900     1.643287    -1.029314
    4.1552    -0.437127     1.653307    -1.052435
    4.1804    -0.421863     1.663327    -1.075088
    4.2056    -0.406113     1.673347    -1.097252
    4.2308    -0.389886     1.683367    -1.118903
    4.2559    -0.373188     1.693387    -1.140020
    4.2811    -0.356026     1.703407    -1.160581
    4.3063    -0.338409     1.713427    -1.180565
    4.3315    -0.320347     1.723447    -1.199949
    4.3567    -0.301846     1.733467    -1.218713
    4.3819    -0.282918     1.743487    -1.236835
    4.4070    -0.263572     1.753507    -1.254297
    4.4322    -0.243818     1.763527    -1.271076
    4.4574    -0.223667     1.773547    -1.287154
    4.4826    -0.203129     1.783567    -1.302512
    4.5078    -0.182218     1.793587    -1.317129
    4.5330    -0.160943     1.803607    -1.330989
    4.5581    -0.139319     1.813627    -1.344071
    4.5833    -0.117357     1.823647    -1.356360
    4.6085    -0.095070     1.833667    -1.367837
    4.6337    -0.072472     1.843687    -1.378486
    4.6589    -0.049576     1.853707    -1.388290
    4.6841    -0.026397     1.863727    -1.397235
    4.7092    -0.002949     1.873747    -1.405304
    4.7344     0.020753     1.883768    -1.412483
    4.7596     0.044694     1.893788    -1.418758
    4.7848     0.068859     1.903808    -1.424115
    4.8100     0.093232     1.913828    -1.428542
    4.8352     0.117797     1.923848    -1.432026
    4.8603     0.142537     1.933868    -1.434556
    4.8855     0.167437     1.943888    -1.436120
    4.9107     0.192479     1.953908    -1.436708
    4.9359     0.217646     1.963928    -1.436310
    4.9611     0.242922     1.973948    -1.434918
    4.9863     0.268288     1.983968    -1.432523
    5.0114     0.293726     1.993988    -1.429117
    5.0366     0.319220     2.004008    -1.424693
    5.0618     0.344750     2.014028    -1.419245
    5.0870     0.370299     2.024048    -1.412767
    5.1122     0.395847     2.034068    -1.405255
    5.1374     0.421377     2.044088    -1.396705
    5.1625     0.446870     2.054108    -1.387113
    5.1877     0.472307     2.064128    -1.376476
    5.2129     0.497668     2.074148    -1.364794
    5.2381     0.522935     2.084168    -1.352064
    5.2633     0.548089     2.094188    -1.338287
    5.2885     0.573110     2.104208    -1.323463
    5.3136     0.597979     2.114228    -1.307594
    5.3388     0.622677     2.124248    -1.290681
    5.3640     0.647185     2.134269    -1.272728
    5.3892     0.671482     2.144289    -1.253739
    5.4144     0.695551     2.154309    -1.233717
    5.4396     0.719371     2.164329    -1.212669
    5.4647     0.742924     2.174349    -1.190600
    5.4899     0.766189     2.184369    -1.167517
    5.5151     0.789149     2.194389    -1.143429
    5.5403     0.811783     2.204409    -1.118343
    5.5655     0.834074     2.214429    -1.092269
    5.5906     0.856001     2.224449    -1.065217
    5.6158     0.877546     2.234469    -1.037199
    5.6410     0.898692     2.244489    -1.008226
    5.6662     0.919418     2.254509    -0.978310
    5.6914     0.939707     2.264529    -0.947465
    5.7166     0.959541     2.274549    -0.915705
    5.7417     0.978903     2.284569    -0.883045
    5.7669     0.997773     2.294589    -0.849501
    5.7921     1.016135     2.304609    -0.815089
    5.8173     1.033972     2.314629    -0.779826
    5.8425     1.051266     2.324649    -0.743731
    5.8677     1.068002     2.334669    -0.706822
    5.8928     1.084161     2.344689    -0.669118
    5.9180     1.099730     2.354709    -0.630640
    5.9432     1.114691     2.364729    -0.591408
    5.9684     1.129029     2.374749    -0.551445
    5.9936     1.142730     2.384770    -0.510772
    6.0188     1.155778     2.394790    -0.469412
    6.0439     1.168158     2.404810    -0.427390
    6.0691     1.179858     2.414830    -0.384728
    6.0943     1.190864     2.424850    -0.341453
    6.1195     1.201161     2.434870    -0.297590
    6.1447     1.210738     2.444890    -0.253165
    6.1699     1.219582     2.454910    -0.208204
    6.1950     1.227681     2.464930    -0.162735
    6.2202     1.235023     2.474950    -0.116786
    6.2454     1.241599     2.484970    -0.070385
    6.2706     1.247396     2.494990    -0.023561
    6.2958     1.252406     2.505010     0.023656
    6.3210     1.256618     2.515030     0.071236
    6.3461     1.260024     2.525050     0.119150
    6.3713     1.262615     2.535070     0.167366
    6.3965     1.264383     2.545090     0.215852
    6.4217     1.265320     2.555110     0.264578
    6.4469     1.265421     2.565130     0.313511
    6.4721     1.264677     2.575150     0.362618
    6.4972     1.263085     2.585170     0.411867
    6.5224     1.260638     2.595190     0.461225
    6.5476     1.257331     2.605210     0.510658
    6.5728     1.253162     2.615230     0.560132
    6.5980     1.248125     2.625251     0.609614
    6.6232     1.242219     2.635271     0.659069
    6.6483     1.235441     2.645291     0.708463
    6.6735     1.227790     2.655311     0.757762
    6.6987     1.219264     2.665331     0.806929
    6.7239     1.209862     2.675351     0.855932
    6.7491     1.199586     2.685371     0.904733
    6.7743     1.188436     2.695391     0.953300
    6.7994     1.176413     2.705411     1.001595
    6.8246     1.163520     2.715431     1.049584
    6.8498     1.149759     2.725451     1.097232
    6.8750     1.135133     2.735471     1.144504
    6.9002     1.119647     2.745491     1.191364
    6.9254     1.103304     2.755511     1.237777
    6.9505     1.086111     2.765531     1.283708
    6.9757     1.068073     2.775551     1.329122
    7.0009     1.049197     2.785571     1.373985
    7.0261     1.029489     2.795591     1.418262
    7.0513     1.008958     2.805611     1.461918
    7.0765     0.987611     2.815631     1.504919
    7.1016     0.965459     2.825651     1.547231
    7.1268     0.942510     2.835671     1.588821
    7.1520     0.918774     2.845691     1.629654
    7.1772     0.894264     2.855711     1.669699
    7.2024     0.868990     2.865731     1.708922
    7.2276     0.842964     2.875752     1.747290
    7.2527     0.816199     2.885772     1.784773
    7.2779     0.788708     2.895792     1.821337
    7.3031     0.760506     2.905812     1.856953
    7.3283     0.731606     2.915832     1.891589
    7.3535     0.702024     2.925852     1.925216
    7.3787     0.671776     2.935872     1.957803
    7.4038     0.640877     2.945892     1.989322
    7.4290     0.609345     2.955912     2.019745
    7.4542     0.577196     2.965932     2.049042
    7.4794     0.544449     2.975952     2.077187
    7.5046     0.511122     2.985972     2.104154
    7.5297     0.477234     2.995992     2.129916
    7.5549     0.442804     3.006012     2.154447
    7.5801     0.407851     3.016032     2.177724
    7.6053     0.372398     3.026052     2.199722
    7.6305     0.336464     3.036072     2.220418
    7.6557     0.300070     3.046092     2.239791
    7.6808     0.263239     3.056112     2.257817
    7.7060     0.225992     3.066132     2.274477
    7.7312     0.188352     3.076152     2.289750
    7.7564     0.150342     3.086172     2.303617
    7.7816     0.111986     3.096192     2.316061
    7.8068     0.073308     3.106212     2.327063
    7.8319     0.034331     3.116232     2.336607
    7.8571    -0.004921     3.126253     2.344678
    7.8823    -0.044421     3.136273     2.351260
    7.9075    -0.084145     3.146293     2.356341
    7.9327    -0.124068     3.156313     2.359908
    7.9579    -0.164164     3.166333     2.361948
    7.9830    -0.204407     3.176353     2.362451
    8.0082    -0.244770     3.186373     2.361407
    8.0334    -0.285228     3.196393     2.358808
    8.0586    -0.325752     3.206413     2.354645
    8.0838    -0.366318     3.216433     2.348912
    8.1090    -0.406896     3.226453     2.341603
    8.1341    -0.447461     3.236473     2.332714
    8.1593    -0.487984     3.246493     2.322241
    8.1845    -0.528439     3.256513     2.310181
    8.2097    -0.568797     3.266533     2.296534
    8.2349    -0.609031     3.276553     2.281298
    8.2601    -0.649113     3.286573     2.264475
    8.2852    -0.689015     3.296593     2.246067
    8.3104    -0.728709     3.306613     2.226075
    8.3356    -0.768168     3.316633     2.204506
    8.3608    -0.807363     3.326653     2.181363
    8.3860    -0.846267     3.336673     2.156653
    8.4112    -0.884852     3.346693     2.130384
    8.4363    -0.923089     3.356713     2.102563
    8.4615    -0.960952     3.366733     2.073201
    8.4867    -0.998413     3.376754     2.042308
    8.5119    -1.035444     3.386774     2.009896
    8.5371    -1.072018     3.396794     1.975978
    8.5623    -1.108108     3.406814     1.940568
    8.5874    -1.143687     3.416834     1.903682
    8.6126    -1.178728     3.426854     1.865335
    8.6378    -1.213204     3.436874     1.825544
    8.6630    -1.247090     3.446894     1.784329
    8.6882    -1.280359     3.456914     1.741708
    8.7134    -1.312986     3.466934     1.697702
    8.7385    -1.344945     3.476954     1.652333
    8.7637    -1.376211     3.486974     1.605624
    8.7889    -1.406759     3.496994     1.557597
    8.8141    -1.436565     3.507014     1.508279
    8.8393    -1.465604     3.517034     1.457693
    8.8645    -1.493854     3.527054     1.405868
    8.8896    -1.521290     3.537074     1.352831
    8.9148    -1.547890     3.547094     1.298610
    8.9400    -1.573632     3.557114     1.243236
    8.9652    -1.598493     3.567134     1.186738
    8.9904    -1.622453     3.577154     1.129148
    9.0156    -1.645489     3.587174     1.070500
    9.0407    -1.667583     3.597194     1.010825
    9.0659    -1.688714     3.607214     0.950158
    9.0911    -1.708862     3.617234     0.888534
    9.1163    -1.728010     3.627255     0.825989
    9.1415    -1.746138     3.637275     0.762560
    9.1667    -1.763230     3.647295     0.698283
    9.1918    -1.779267     3.657315     0.633198
    9.2170    -1.794235     3.667335     0.567344
    9.2422    -1.808117     3.677355     0.500759
    9.2674    -1.820898     3.687375     0.433484
    9.2926    -1.832563     3.697395     0.365561
    9.3177    -1.843100     3.707415     0.297031
    9.3429    -1.852495     3.717435     0.227936
    9.3681    -1.860736     3.727455     0.158319
    9.3933    -1.867812     3.737475     0.088224
    9.4185    -1.873710     3.747495     0.017695
    9.4437    -1.878422     3.757515    -0.053224
    9.4688    -1.881939     3.767535    -0.124487
    9.4940    -1.884250     3.777555    -0.196050
    9.5192    -1.885349     3.787575    -0.267866
    9.5444    -1.885229     3.797595    -0.339889
    9.5696    -1.883883     3.807615    -0.412072
    9.5948    -1.881306     3.817635    -0.484368
    9.6199    -1.877493     3.827655    -0.556730
    9.6451    -1.872441     3.837675    -0.629110
    9.6703    -1.866146     3.847695    -0.701461
    9.6955    -1.858607     3.857715    -0.773734
    9.7207    -1.849821     3.867735    -0.845880
    9.7459    -1.839789     3.877756    -0.917853
    9.7710    -1.828510     3.887776    -0.989602
    9.7962    -1.815986     3.897796    -1.061080
    9.8214    -1.802219     3.907816    -1.132238
    9.8466    -1.787212     3.917836    -1.203027
    9.8718    -1.770968     3.927856    -1.273398
    9.8970    -1.753492     3.937876    -1.343303
    9.9221    -1.734789     3.947896    -1.412693
    9.9473    -1.714865     3.957916    -1.481520
    9.9725    -1.693728     3.967936    -1.549735
    9.9977    -1.671386     3.977956    -1.617291
   10.0229    -1.647847     3.987976    -1.684139
   10.0481    -1.623121     3.997996    -1.750232
   10.0732    -1.597218     4.008016    -1.815522
   10.0984    -1.570150     4.018036    -1.879963
   10.1236    -1.541929     4.028056    -1.943507
   10.1488    -1.512568     4.038076    -2.006108
   10.1740    -1.482080     4.048096    -2.067721
   10.1992    -1.450481     4.058116    -2.128300
   10.2243    -1.417785     4.068136    -2.187799
   10.2495    -1.384010     4.078156    -2.246175
   10.2747    -1.349171     4.088176    -2.303383
   10.2999    -1.313288     4.098196    -2.359381
   10.3251    -1.276378     4.108216    -2.414124
   10.3503    -1.238460     4.118236    -2.467572
   10.3754    -1.199556     4.128257    -2.519683
   10.4006    -1.159686     4.138277    -2.570416
   10.4258    -1.118871     4.148297    -2.619731
   10.4510    -1.077135     4.158317    -2.667589
   10.4762    -1.034499     4.168337    -2.713951
   10.5014    -0.990989     4.178357    -2.758780
   10.5265    -0.946628     4.188377    -2.802039
   10.5517    -0.901441     4.198397    -2.843692
   10.5769    -0.855455     4.208417    -2.883704
   10.6021    -0.808696     4.218437    -2.922042
   10.6273    -0.761191     4.228457    -2.958671
   10.6525    -0.712968     4.238477    -2.993561
   10.6776    -0.664056     4.248497    -3.026679
   10.7028    -0.614482     4.258517    -3.057997
   10.7280    -0.564278     4.268537    -3.087484
   10.7532    -0.513472     4.278557    -3.115114
   10.7784    -0.462095     4.288577    -3.140859
   10.8036    -0.410179     4.298597    -3.164693
   10.8287    -0.357756     4.308617    -3.186593
   10.8539    -0.304856     4.318637    -3.206535
   10.8791    -0.251514     4.328657    -3.224497
   10.9043    -0.197761     4.338677    -3.240459
   10.9295    -0.143632     4.348697    -3.254399
   10.9547    -0.089160     4.358717    -3.266301
   10.9798    -0.034379     4.368737    -3.276147
   11.0050     0.020675     4.378758    -3.283922
   11.0302     0.075969     4.388778    -3.289610
   11.0554     0.131467     4.398798    -3.293199
   11.0806     0.187134     4.408818    -3.294677
   11.1058     0.242933     4.418838    -3.294034
   11.1309     0.298829     4.428858    -3.291260
   11.1561     0.354785     4.438878    -3.286348
   11.1813     0.410766     4.448898    -3.279291
   11.2065     0.466734     4.458918    -3.270085
   11.2317     0.522652     4.468938    -3.258726
   11.2568     0.578485     4.478958    -3.245212
   11.2820     0.634194     4.488978    -3.229542
   11.3072     0.689744     4.498998    -3.211717
   11.3324     0.745096     4.509018    -3.191739
   11.3576     0.800213     4.519038    -3.169612
   11.3828     0.855059     4.529058    -3.145341
   11.4079     0.909597     4.539078    -3.118933
   11.4331     0.963789     4.549098    -3.090395
   11.4583     1.017598     4.559118    -3.059737
   11.4835     1.070988     4.569138    -3.026969
   11.5087     1.123921     4.579158    -2.992105
   11.5339     1.176362     4.589178    -2.955157
   11.5590     1.228273     4.599198    -2.916141
   11.5842     1.279618     4.609218    -2.875074
   11.6094     1.330362     4.619238    -2.831974
   11.6346     1.380468     4.629259    -2.786859
   11.6598     1.429902     4.639279    -2.739752
   11.6850     1.478627     4.649299    -2.690674
   11.7101     1.526610     4.659319    -2.639648
   11.7353     1.573815     4.669339    -2.586701
   11.7605     1.620208     4.679359    -2.531859
   11.7857     1.665756     4.689379    -2.475148
   11.8109     1.710425     4.699399    -2.416599
   11.8361     1.754182     4.709419    -2.356242
   11.8612     1.796995     4.719439    -2.294109
   11.8864     1.838833     4.729459    -2.230233
   11.9116     1.879662     4.739479    -2.164649
   11.9368     1.919454     4.749499    -2.097391
   11.9620     1.958176     4.759519    -2.028498
   11.9872     1.995801     4.769539    -1.958006
   12.0123     2.032297     4.779559    -1.885956
   12.0375     2.067638     4.789579    -1.812389
   12.0627     2.101795     4.799599    -1.737345
   12.0879     2.134740     4.809619    -1.660868
   12.1131     2.166449     4.819639    -1.583002
   12.1383     2.196893     4.829659    -1.503792
   12.1634     2.226050     4.839679    -1.423284
   12.1886     2.253893     4.849699    -1.341525
   12.2138     2.280401     4.859719    -1.258563
   12.2390     2.305549     4.869739    -1.174448
   12.2642     2.329316     4.879760    -1.089231
   12.2894     2.351682     4.889780    -1.002961
   12.3145     2.372625     4.899800    -0.915691
   12.3397     2.392126     4.909820    -0.827473
   12.3649     2.410167     4.919840    -0.738363
   12.3901     2.426730     4.929860    -0.648413
   12.4153     2.441798     4.939880    -0.557679
   12.4405     2.455356     4.949900    -0.466218
   12.4656     2.467388     4.959920    -0.374085
   12.4908     2.477882     4.969940    -0.281339
   12.5160     2.486822     4.979960    -0.188037
   12.5412     2.494199     4.989980    -0.094237
   12.5664     2.500000     5.000000    -0.000000
